line,station
23,"Beggen, Henri Dunant"
24,"Howald, P&R Howald"
24,"Hollerich, P+R Bouillon"
24,"Hollerich, P+R Bouillon Ext."
24,"Hollerich, Assurances Sociales"
24,"Gasperich, Gaasperecherbierg"
24,"Gasperich, Plantin"
24,"Gasperich, Jean Piret"
24,"Gasperich, Émile Bian"
24,"Gasperich, Leonardo Da Vinci"
24,"Howald, P&R Howald"
25,"Dommeldange, Gare"
25,"Hamm, Rue De Bitbourg"
25,"Hamm, Ronndréisch"
25,"Cents, Halte Cfl"
25,"Cents, Kierch"
25,"Cents, Robert Bruch"
25,"Cents, Trèves"
25,"Cents, Carmel"
25,"Cents, Camille Polfer"
25,"Cents, Waassertuerm"
25,"Neudorf, Kalchesbruck"
25,"Weimershof, Fierschterhaus"
25,"Neudorf, Laangegronn"
25,"Neiduerf, Kapell"
25,"Neiduerf, Brasserie"
25,"Neudorf, Huesegrëndchen"
25,"Neudorf, Carrières"
25,"Kirchberg, Bricher Gässel"
25,"Kirchberg, Labours"
25,"Weimershof, Joseph Hackin"
25,"Kirchberg, Hôpital"
25,"Kirchberg, Luxexpo Quai 4 (Arrêt Bus)"
25,"Kirchberg, Poutty Stein"
25,"Kirchberg, Chambre Des Métiers"
25,"Kirchberg, Réimerwee"
25,"Kirchberg, Albert Borschette"
25,"Kirchberg, Coudenhove-Kalergi"
25,"Kirchberg, Konrad Adenauer"
25,"Kirchberg, Antoine De St Exupéry"
25,"Kirchberg, Jean Monnet"
25,"Kirchberg, Paul Noesen"
25,"Weimerskirch, St.Vith"
25,"Weimerskirch, Pierre-Eloi Schoué"
25,"Weimerskirch, Mäertesbur"
25,"Weimerskirch, Duerf"
25,"Weimerskirch, Knupp"
25,"Weimerskirch, Tommys Bruch"
25,"Weimerskirch, Biechelchen"
25,"Dommeldange, Van Der Meulen"
25,"Dommeldange, Sidney Thomas"
25,"Dommeldange, Gare"
26,"Gasperich, Guillaume Kroll"
26,"Howald, Peternelchen"
26,"Howald, Ronneboesch"
26,"Gasperich, Hildegard Von Bingen"
26,"Gasperich, Émile Bian"
26,"Gasperich, Jean Piret"
26,"Gasperich, Ruppert"
26,"Gasperich, Guillaume Kroll"
27,"Bertrange, Belle Etoile"
27,"Luxembourg, Gare Centrale"
27,"Hollerich, Fonderie"
27,"Hollerich, Jean-Baptiste Merkels"
27,"Hollerich, Salzhaff"
27,"Merl, Marcel Cahen"
27,"Merl, St. Gengoul"
27,"Merl, Plaak"
27,"Merl, Op Der Millen"
27,"Strassen, Atrium"
27,"Strassen, Bourmicht"
27,"Strassen, Les Thermes"
27,"Bertrange, Spatzwiss"
27,"Strassen, Gare"
27,"Bertrange, Belle Etoile"
28,"Bertrange, Belle Etoile"
28,"Luxembourg, Gare Centrale"
28,"Centre, Paris/Zitha"
28,"Centre, Martyrs"
28,"Centre, Monterey"
28,"Centre, Charlys Gare"
28,"Belair, Service Incendie"
28,"Belair, Stade"
28,"Belair, Wandmillen"
28,"Strassen, Huorgarten"
28,"Strassen, Hondseck"
28,"Strassen, Aurélia"
28,"Strassen, Benelux"
28,"Strassen, Barblé"
28,"Strassen, Kesseler"
28,"Strassen, Geesseneck"
28,"Strassen, Schoenacht"
28,"Bertrange, Belle Etoile"
29,"Howald, P&R Howald"
29,"Senningerberg, Charlys Statioun"
29,"Senningerberg, Rue Du Golf"
29,"Senningerberg, Autobunn"
29,"Senningerberg, Lou Hemmer"
29,"Findel, Cité Aéroport"
29,"Findel, Business Center"
29,"Kalchesbréck, Reno"
29,"Cents, Waassertuerm"
29,"Cents, Camille Polfer"
29,"Cents, Carmel"
29,"Cents, Trèves"
29,"Cents, Robert Bruch"
29,"Cents, Halte Cfl"
29,"Pulvermuhl, Hammerdällchen"
29,"Verlorenkost, Général Patton"
29,"Verlorenkost, Al Molkerei"
29,"Luxembourg, Gare Rocade"
29,"Bonnevoie, Dernier Sol"
29,"Bonnevoie, Hippodrome"
29,"Bonnevoie, Neufchâteau"
29,"Howald, Rangwee"
29,"Howald, Moureschanz"
29,"Howald, Ronneboesch"
29,"Howald, Op Der Stirzel"
29,"Howald, P&R Howald"
30,"Bonnevoie, Lycée Technique De Bonnevoie/Quais"
30,"Limpertsberg, Lycée Michel Lucius"
30,"Limpertsberg, Batty Weber"
30,"Luxembourg, Uni Campus Limpertsberg"
30,"Limpertsberg, Ermesinde"
30,"Limpertsberg, Henri VII"
30,"Limpertsberg, Glacis/Nikloskierfecht"
30,"Centre, Stäreplaz"
30,"Belair, Wampach"
30,"Centre, Monterey"
30,"Centre, Martyrs"
30,"Centre, Paris/Zitha"
30,"Luxembourg, Wallis"
30,"Bonnevoie, Huese Vic"
30,"Bonnevoie, Virchow"
30,"Bonnevoie, Fraternité"
30,"Bonnevoie, Léon XIII"
30,"Bonnevoie, Willibrord"
30,"Bonnevoie, Lycée Technique De Bonnevoie/Quais"
31,"Bonnevoie, Carignan"
31,"Strassen, Oricher-Hoehl"
31,"Strassen, Cité Pescher"
31,"Strassen, Schafsstrachen"
31,"Reckenthal, Gäertnerei"
31,"Rollingergrund, Steekaul"
